Hodina,JE,PE,PPE,PSE,VE,PVE,FVE,VTE,Přeshraniční saldo,Čerpání PVE,TVSe,Zatížení brutto,Zatížení (bez TVSe),Spotřeba brutto
3:00,3 618,2 758,252,381,150,0,0,53,-332,-431,-466,6 449,5 983,6 449
4:00,3 620,2 750,252,380,151,0,3,47,-329,-427,-466,6 446,5 981,6 446
5:00,3 625,2 829,576,379,213,0,20,47,-530,-417,-478,6 743,6 265,6 743
6:00,3 625,3 102,1 033,408,223,0,107,43,-727,-11,-512,7 803,7 291,7 803
7:00,3 624,3 282,1 079,434,246,196,383,30,-862,0,-535,8 413,7 878,8 413
8:00,3 621,3 296,1 032,440,245,264,767,17,-913,0,-539,8 768,8 229,8 768
9:00,3 613,3 306,1 038,426,247,0,1 101,18,-752,0,-538,8 997,8 459,8 997
10:00,3 600,3 332,1 024,404,165,0,1 349,27,-726,0,-539,9 176,8 636,9 176
11:00,3 594,3 250,1 008,394,163,0,1 497,37,-729,0,-532,9 214,8 682,9 214
12:00,3 588,3 256,996,387,155,0,1 554,39,-418,0,-532,9 556,9 024,9 556
13:00,3 582,3 202,986,375,153,0,1 533,33,-721,0,-526,9 143,8 617,9 143
14:00,3 577,3 161,983,376,155,0,1 439,35,-774,0,-522,8 951,8 429,8 951
15:00,3 575,3 193,986,379,156,0,1 277,35,-678,0,-523,8 923,8 399,8 923
16:00,3 572,3 327,1 003,387,162,0,1 019,31,-662,0,-533,8 839,8 306,8 839
17:00,3 568,3 313,1 001,384,251,0,690,31,-566,0,-530,8 673,8 144,8 673
18:00,3 570,3 330,1 012,399,340,170,324,30,-813,0,-532,8 361,7 828,8 361
19:00,3 573,3 194,1 024,433,355,466,92,34,-932,0,-525,8 239,7 713,8 239
20:00,3 574,3 068,1 006,436,366,275,25,49,-793,0,-512,8 006,7 495,8 006
21:00,3 580,3 054,1 012,410,362,265,4,61,-868,0,-509,7 880,7 371,7 880
22:00,3 586,3 081,1 008,380,293,190,0,61,-943,0,-508,7 656,7 148,7 656
23:00,3 591,2 852,1 009,380,255,0,0,71,-1 016,0,-486,7 141,6 655,7 141
Hodina,JE,PE,PPE,PSE,VE,PVE,FVE,VTE,Přeshraniční saldo,Čerpání PVE,TVSe,Zatížení brutto,Zatížení (bez TVSe),Spotřeba brutto
"",[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MWh]
0:00,2 579,2 402,313,424,204,0,0,90,38,0,-394,6 051,5 657,6 051
1:00,2 580,2 398,303,424,201,0,0,80,-20,0,-393,5 967,5 574,5 967
2:00,2 586,2 404,304,426,201,0,0,84,73,0,-394,6 078,5 684,6 078
3:00,2 586,2 394,303,425,201,0,0,87,68,0,-393,6 063,5 670,6 063
4:00,2 583,2 402,303,428,199,0,0,103,87,0,-394,6 105,5 710,6 105
5:00,2 583,2 340,315,437,199,28,1,112,141,0,-390,6 156,5 766,6 156
6:00,2 586,2 269,308,484,202,104,2,125,261,0,-387,6 340,5 953,6 340
7:00,2 587,2 324,321,487,222,0,37,122,607,0,-392,6 707,6 315,6 707
8:00,2 586,2 408,330,501,223,0,162,105,824,0,-401,7 138,6 737,7 138
9:00,2 587,2 496,328,494,203,0,409,109,892,0,-410,7 518,7 108,7 518
10:00,2 585,2 481,312,482,200,0,559,128,1 155,0,-409,7 903,7 493,7 903
11:00,2 583,2 489,324,461,199,0,670,142,1 277,0,-410,8 144,7 735,8 144
12:00,2 583,2 516,322,475,200,0,807,140,1 723,-862,-414,7 905,7 491,7 905
13:00,2 584,2 625,312,463,199,0,875,135,1 529,-944,-424,7 777,7 353,7 777
14:00,2 583,2 731,322,441,203,0,788,135,1 371,-936,-431,7 636,7 205,7 636
15:00,2 583,2 767,333,450,203,0,701,148,1 277,-878,-435,7 584,7 150,7 584
16:00,2 584,2 859,323,480,203,0,416,145,1 216,-742,-442,7 483,7 040,7 483
17:00,2 586,2 996,321,482,209,0,226,158,987,-601,-454,7 363,6 910,7 363
18:00,2 583,3 151,330,498,360,0,68,121,312,-30,-468,7 392,6 924,7 392
19:00,2 586,3 307,333,517,356,276,5,85,60,0,-487,7 527,7 040,7 527
20:00,2 589,3 252,328,515,391,357,1,61,60,0,-483,7 555,7 072,7 555
21:00,2 588,3 203,328,496,347,190,0,56,23,0,-474,7 230,6 756,7 230
22:00,2 588,3 180,308,434,327,175,0,45,-102,-1,-468,6 953,6 485,6 953
23:00,2 586,3 149,310,427,349,2,0,36,-232,-5,-463,6 622,6 159,6 622
Hodina,JE,PE,PPE,PSE,VE,PVE,FVE,VTE,Přeshraniční saldo,Čerpání PVE,TVSe,Zatížení brutto,Zatížení (bez TVSe),Spotřeba brutto
"",[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MWh]
0:00,3 038,2 213,267,373,469,0,0,51,-577,0,-419,5 834,5 415,5 834
1:00,3 042,2 187,265,370,453,0,0,55,-618,0,-416,5 755,5 339,5 755
2:00,3 047,2 217,265,370,392,0,0,64,-545,0,-419,5 811,5 392,5 811
3:00,3 049,2 186,251,369,465,0,0,70,-618,0,-416,5 772,5 356,5 772
4:00,3 053,2 178,251,373,487,0,1,90,-682,0,-416,5 750,5 334,5 750
5:00,3 056,2 152,255,379,490,0,3,73,-813,0,-415,5 597,5 182,5 597
6:00,3 057,2 180,260,411,410,0,43,75,-558,-111,-419,5 767,5 348,5 767
7:00,3 061,2 196,264,410,466,0,175,58,-403,-54,-422,6 173,5 751,6 173
8:00,3 061,2 210,262,413,448,0,372,65,131,-317,-425,6 644,6 219,6 644
9:00,3 012,2 170,263,412,444,136,639,55,-42,-5,-422,7 085,6 663,7 085
10:00,2 947,2 176,263,407,455,139,852,53,152,0,-420,7 444,7 023,7 444
11:00,2 933,2 167,263,401,356,0,988,53,1 052,-587,-417,7 625,7 208,7 625
12:00,2 929,2 121,254,397,352,0,1 033,49,1 143,-910,-412,7 367,6 955,7 367
13:00,2 926,2 150,261,387,329,0,1 075,64,1 077,-1 042,-414,7 226,6 812,7 226
14:00,2 958,2 182,264,386,288,0,1 055,53,985,-1 042,-419,7 128,6 709,7 128
15:00,3 017,2 188,262,379,284,0,987,50,891,-1 031,-422,7 028,6 606,7 028
16:00,3 040,2 280,261,380,300,0,818,42,667,-838,-431,6 949,6 519,6 949
17:00,3 039,2 511,244,387,342,0,551,42,-274,-55,-451,6 787,6 336,6 787
18:00,3 038,2 888,273,401,456,304,242,31,-726,0,-491,6 905,6 415,6 905
19:00,3 036,3 014,272,438,477,644,64,30,-926,0,-508,7 049,6 541,7 049
20:00,3 035,3 022,271,448,739,703,12,45,-1 120,0,-512,7 154,6 642,7 154
21:00,3 037,3 136,271,437,719,572,3,53,-999,0,-520,7 227,6 707,7 227
22:00,3 035,3 150,272,386,586,658,0,69,-1 038,0,-519,7 116,6 597,7 116
23:00,3 038,3 092,268,386,460,37,0,88,-545,0,-505,6 826,6 321,6 826
Hodina,JE,PE,PPE,PSE,VE,PVE,FVE,VTE,Přeshraniční saldo,Čerpání PVE,TVSe,Zatížení brutto,Zatížení (bez TVSe),Spotřeba brutto
"",[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MWh]
0:00,2 532,2 732,271,375,224,0,0,18,-592,-5,-405,5 556,5 151,5 556
1:00,2 532,2 577,272,375,223,0,0,12,-533,-5,-392,5 454,5 062,5 454
2:00,2 530,2 581,250,375,221,0,0,10,-552,-5,-391,5 410,5 019,5 410
3:00,2 531,2 568,251,373,220,0,0,8,-317,-286,-390,5 347,4 957,5 347
4:00,2 537,2 613,255,375,223,0,2,7,-433,-314,-395,5 265,4 871,5 265
5:00,2 541,2 574,254,378,213,0,18,9,-576,-313,-392,5 098,4 706,5 098
6:00,2 539,2 641,261,401,307,0,104,6,-658,-312,-401,5 291,4 891,5 291
7:00,2 531,2 717,261,402,274,0,353,5,-485,-311,-408,5 747,5 338,5 747
8:00,2 528,2 719,261,407,270,0,729,4,-329,-309,-412,6 279,5 867,6 279
9:00,2 533,2 711,261,400,227,0,1 068,4,-140,-308,-413,6 756,6 343,6 756
10:00,2 528,2 663,262,387,218,0,1 294,4,69,-307,-410,7 119,6 709,7 119
11:00,2 522,2 752,263,396,219,0,1 369,3,118,-305,-419,7 337,6 918,7 337
12:00,2 520,2 770,271,389,215,0,1 396,3,149,-526,-420,7 188,6 768,7 188
13:00,2 520,2 571,262,383,212,0,1 350,4,493,-733,-402,7 062,6 660,7 062
14:00,2 518,2 514,228,381,212,0,1 262,12,580,-729,-395,6 978,6 582,6 978
15:00,2 520,2 714,262,379,211,0,1 135,13,433,-724,-412,6 942,6 530,6 942
16:00,2 517,2 771,267,382,213,0,880,7,146,-298,-415,6 886,6 471,6 886
17:00,2 515,2 928,285,398,227,0,584,6,-212,-5,-427,6 726,6 299,6 726
18:00,2 515,2 988,269,414,296,0,319,6,14,0,-432,6 821,6 389,6 821
19:00,2 516,3 061,264,428,320,21,133,8,46,0,-438,6 797,6 359,6 797
20:00,2 516,3 152,266,428,327,285,37,13,-266,0,-449,6 759,6 310,6 759
21:00,2 517,3 229,272,418,337,265,4,19,-236,0,-455,6 824,6 370,6 824
22:00,2 523,3 308,282,386,338,296,1,20,-301,0,-460,6 853,6 393,6 853
23:00,2 529,3 181,282,379,338,43,0,19,-273,0,-446,6 497,6 052,6 497
