Hodina,JE,PE,PPE,PSE,VE,PVE,FVE,VTE,Přeshraniční saldo,Čerpání PVE,TVSe,Zatížení brutto,Zatížení (bez TVSe),Spotřeba brutto
Hodina,JE,PE,PPE,PSE,VE,PVE,FVE,VTE,Přeshraniční saldo,Čerpání PVE,TVSe,Zatížení brutto,Zatížení (bez TVSe),Spotřeba brutto
"",[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MWh]
0:00,4 162,4 105,134,314,126,0,0,106,-1 779,-309,-680,6 859,6 179,6 859
1:00,4 164,4 140,134,311,124,0,0,122,-1 138,-1 010,-684,6 848,6 165,6 848
2:00,4 166,4 158,134,321,123,0,0,133,-1 261,-1 054,-686,6 721,6 035,6 721
3:00,4 171,4 164,134,320,123,0,0,139,-1 349,-1 046,-687,6 657,5 970,6 657
4:00,4 168,4 028,133,322,123,0,0,148,-1 216,-937,-674,6 771,6 097,6 771
5:00,4 168,4 089,133,328,125,0,0,160,-1 700,-19,-680,7 284,6 604,7 284
6:00,4 166,4 375,133,366,141,206,2,170,-1 143,0,-714,8 417,7 703,8 417
7:00,4 163,4 434,134,387,230,688,22,173,-1 344,0,-728,8 886,8 158,8 886
8:00,4 162,4 538,163,430,246,837,124,154,-1 458,0,-745,9 196,8 451,9 196
9:00,4 158,4 398,137,375,242,506,263,142,-900,0,-723,9 321,8 598,9 321
10:00,4 157,4 316,134,343,333,13,450,134,-570,0,-708,9 308,8 600,9 308
11:00,4 152,4 241,174,333,224,0,486,117,-381,0,-700,9 346,8 646,9 346
12:00,4 149,4 286,206,369,129,0,505,100,-366,0,-706,9 378,8 672,9 378
13:00,4 150,3 806,198,516,139,0,542,92,-191,0,-668,9 251,8 583,9 251
14:00,4 149,3 876,202,462,132,0,549,88,-389,0,-671,9 069,8 398,9 069
15:00,4 144,3 762,132,327,122,0,535,98,-7,-111,-649,9 002,8 352,9 002
16:00,4 141,3 823,134,331,163,0,422,98,-176,-9,-655,8 926,8 271,8 926
17:00,4 143,4 006,134,361,243,218,204,75,-598,0,-677,8 785,8 108,8 785
18:00,4 144,4 078,134,381,172,403,33,49,-777,0,-686,8 617,7 932,8 617
19:00,4 083,4 191,134,409,184,599,2,40,-699,0,-698,8 943,8 245,8 943
20:00,3 805,4 204,134,383,199,544,0,30,-684,0,-680,8 615,7 935,8 615
21:00,3 634,4 111,133,354,221,23,0,54,-371,-62,-653,8 098,7 445,8 098
22:00,3 636,4 120,134,315,207,0,0,67,-607,-254,-651,7 619,6 968,7 619
23:00,3 638,4 086,134,314,170,0,0,72,-922,-316,-647,7 176,6 529,7 176
Hodina,JE,PE,PPE,PSE,VE,PVE,FVE,VTE,Přeshraniční saldo,Čerpání PVE,TVSe,Zatížení brutto,Zatížení (bez TVSe),Spotřeba brutto
"",[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MWh]
0:00,2 546,3 028,453,365,281,0,0,6,-1 275,-5,-488,5 399,4 911,5 399
1:00,2 550,3 007,255,366,182,0,0,8,-1 065,-5,-482,5 297,4 815,5 297
2:00,2 550,3 020,253,364,182,0,0,9,-1 071,-5,-483,5 302,4 819,5 302
3:00,2 551,2 912,256,363,184,0,0,10,-1 066,-5,-472,5 204,4 732,5 204
4:00,2 552,2 897,256,358,182,0,12,9,-1 121,-5,-471,5 139,4 668,5 139
5:00,2 556,2 857,250,361,186,0,33,10,-1 256,-5,-467,4 992,4 525,4 992
6:00,2 556,2 923,260,387,195,0,131,9,-1 227,-5,-477,5 228,4 752,5 228
7:00,2 554,3 059,261,397,198,67,343,6,-1 254,-5,-493,5 627,5 134,5 627
8:00,2 543,3 128,262,407,198,5,645,3,-1 097,-5,-502,6 090,5 588,6 090
9:00,2 536,3 073,261,399,159,0,932,3,-878,0,-497,6 486,5 989,6 486
10:00,2 528,3 109,262,375,156,0,1 142,3,-760,0,-500,6 815,6 315,6 815
11:00,2 526,3 149,262,372,169,134,1 220,4,-851,0,-506,6 985,6 479,6 985
12:00,2 524,3 068,261,374,171,87,1 226,6,-856,0,-498,6 859,6 362,6 859
13:00,2 520,3 159,263,379,165,0,1 149,9,-631,-253,-505,6 760,6 254,6 760
14:00,2 523,3 115,264,370,231,0,1 083,16,-652,-292,-500,6 658,6 158,6 658
15:00,2 523,3 211,275,384,241,0,940,15,-302,-620,-510,6 667,6 157,6 667
16:00,2 519,3 167,260,380,223,0,761,11,-608,-136,-503,6 577,6 074,6 577
17:00,2 518,3 141,256,371,195,0,571,7,-717,0,-498,6 343,5 845,6 343
18:00,2 520,3 214,252,383,236,0,302,5,-598,0,-505,6 313,5 809,6 313
19:00,2 517,3 400,251,399,269,0,106,5,-664,0,-523,6 284,5 761,6 284
20:00,2 519,3 596,251,419,309,0,32,4,-922,0,-543,6 208,5 665,6 208
21:00,2 522,3 763,253,387,343,0,12,5,-1 024,0,-558,6 261,5 703,6 261
22:00,2 521,3 920,286,369,346,0,1,8,-1 220,0,-573,6 229,5 656,6 229
23:00,2 520,3 890,258,364,277,0,0,9,-1 476,0,-569,5 842,5 273,5 842
Hodina,JE,PE,PPE,PSE,VE,PVE,FVE,VTE,Přeshraniční saldo,Čerpání PVE,TVSe,Zatížení brutto,Zatížení (bez TVSe),Spotřeba brutto
"",[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MWh]
0:00,3 001,2 482,249,342,237,0,0,135,-1 202,-18,-454,5 226,4 772,5 226
1:00,3 016,2 456,248,342,163,0,0,129,-944,-313,-452,5 096,4 644,5 096
2:00,3 020,2 427,248,343,160,0,0,131,-724,-535,-449,5 070,4 621,5 070
3:00,3 024,2 427,250,341,160,0,0,113,-360,-945,-449,5 011,4 562,5 011
4:00,3 025,2 437,249,342,158,0,2,123,-254,-1 052,-450,5 031,4 580,5 031
5:00,3 024,2 416,248,342,152,0,7,117,-304,-1 044,-448,4 958,4 510,4 958
6:00,3 023,2 457,257,368,229,0,18,111,-432,-1 036,-454,4 995,4 541,4 995
7:00,3 022,2 488,263,368,172,0,103,91,-265,-924,-458,5 318,4 861,5 318
8:00,3 024,2 505,262,367,173,0,344,79,-341,-584,-461,5 830,5 369,5 830
9:00,3 023,2 480,258,364,174,0,570,93,-621,-46,-460,6 294,5 834,6 294
10:00,3 022,2 463,254,353,156,0,924,96,-499,-70,-460,6 698,6 238,6 698
11:00,3 020,2 430,232,352,156,0,1 075,82,-313,-144,-457,6 889,6 432,6 889
12:00,3 017,2 462,230,357,154,0,1 106,78,-667,0,-461,6 737,6 276,6 737
13:00,3 014,2 468,260,358,196,0,965,67,-681,0,-461,6 646,6 185,6 646
14:00,3 012,2 531,265,366,158,0,756,55,-584,0,-466,6 559,6 093,6 559
15:00,3 013,2 581,265,375,157,0,607,57,-554,0,-470,6 500,6 030,6 500
16:00,3 015,2 620,268,365,153,0,388,51,-414,0,-472,6 446,5 975,6 446
17:00,3 012,2 632,264,372,157,0,255,44,-431,0,-472,6 306,5 834,6 306
18:00,3 011,2 644,262,388,160,25,150,31,-294,0,-473,6 377,5 903,6 377
19:00,3 011,2 709,260,398,169,869,49,33,-1 118,0,-491,6 379,5 888,6 379
20:00,3 017,2 776,259,400,218,876,13,53,-1 179,0,-498,6 435,5 937,6 435
21:00,3 023,2 764,257,376,217,646,4,66,-1 010,0,-493,6 342,5 849,6 342
22:00,3 022,2 730,248,357,207,886,0,84,-1 422,0,-491,6 112,5 621,6 112
23:00,3 022,2 581,241,351,159,502,0,81,-1 148,-1,-471,5 789,5 319,5 789
Hodina,JE,PE,PPE,PSE,VE,PVE,FVE,VTE,Přeshraniční saldo,Čerpání PVE,TVSe,Zatížení brutto,Zatížení (bez TVSe),Spotřeba brutto
"",[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MWh]
0:00,3 629,3 112,215,362,135,0,0,24,-1 913,0,-553,5 564,5 011,5 564
1:00,3 628,3 087,219,362,133,0,0,22,-1 952,0,-551,5 499,4 948,5 499
2:00,3 631,3 098,221,362,135,0,0,19,-1 999,0,-552,5 466,4 914,5 466
3:00,3 631,3 093,218,362,135,0,0,14,-1 900,-115,-552,5 438,4 887,5 438
4:00,3 631,3 117,223,361,134,0,0,8,-1 342,-695,-554,5 438,4 884,5 438
5:00,3 630,3 189,226,365,132,0,2,5,-1 409,-716,-561,5 425,4 863,5 425
6:00,3 633,3 159,219,383,227,0,9,5,-1 989,-120,-560,5 526,4 965,5 526
7:00,3 638,3 308,220,404,234,0,71,5,-1 984,0,-577,5 896,5 319,5 896
8:00,3 637,3 331,221,410,253,0,232,5,-1 683,0,-581,6 405,5 823,6 405
9:00,3 633,3 293,218,402,250,0,508,4,-1 460,0,-579,6 849,6 270,6 849
10:00,3 629,3 189,214,360,179,0,835,3,-1 158,0,-567,7 251,6 684,7 251
11:00,3 620,3 255,219,351,140,0,1 075,4,-1 162,-15,-575,7 486,6 912,7 486
12:00,3 610,3 218,218,345,136,0,1 132,6,-489,-901,-570,7 276,6 705,7 276
13:00,3 609,3 183,218,336,132,0,1 163,7,-469,-941,-566,7 238,6 672,7 238
14:00,3 604,3 223,220,330,133,0,1 042,8,-496,-933,-569,7 131,6 562,7 131
15:00,3 599,3 306,221,332,133,0,824,12,-408,-925,-575,7 093,6 518,7 093
16:00,3 603,3 297,221,340,134,0,620,16,-307,-876,-574,7 048,6 474,7 048
17:00,3 608,3 345,220,358,135,0,324,12,-1 176,-5,-578,6 821,6 244,6 821
18:00,3 604,3 498,225,375,235,239,85,12,-1 349,0,-596,6 923,6 327,6 923
19:00,3 602,3 686,227,389,267,736,10,12,-1 692,0,-622,7 238,6 616,7 238
20:00,3 604,3 776,228,391,263,773,1,14,-1 819,0,-631,7 232,6 601,7 232
21:00,3 609,3 897,229,361,255,40,0,10,-1 445,0,-632,6 957,6 325,6 957
22:00,3 609,3 916,227,336,227,0,0,10,-1 544,0,-632,6 781,6 149,6 781
23:00,3 616,3 718,210,330,197,114,0,7,-1 755,0,-613,6 437,5 824,6 437
